Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0088693,2011-03-16,2012-02-10,10/10,Alice in Wonderland,https://www.imdb.com/title/tt0088693/,tvMovie,7.4,187,1985,"Adventure, Family, Fantasy, Musical",2645,1985-12-09,Harry Harris
2,tt1033575,2012-02-10,2012-02-10,10/10,The Descendants,https://www.imdb.com/title/tt1033575/,movie,7.3,115,2011,"Comedy, Drama",223083,2011-09-02,Alexander Payne
3,tt0173052,2012-02-10,2012-02-10,10/10,The Prince and the Surfer,https://www.imdb.com/title/tt0173052/,movie,4.7,89,1999,"Comedy, Family, Fantasy, Romance",211,1999-12-21,"Gregory Gieras, Arye Gross"
4,tt0032138,2011-03-16,2012-02-10,10/10,The Wizard of Oz,https://www.imdb.com/title/tt0032138/,movie,8.0,102,1939,"Adventure, Family, Fantasy, Musical",350591,1939-08-11,"Mervyn LeRoy, King Vidor, Norman Taurog, George Cukor, Richard Thorpe, Victor Fleming"
5,tt0102057,2011-03-16,2012-02-10,10/10,Hook,https://www.imdb.com/title/tt0102057/,movie,6.7,142,1991,"Adventure, Comedy, Family, Fantasy",213092,1991-12-08,Steven Spielberg
6,tt0113497,2011-03-16,2012-02-10,10/10,Jumanji,https://www.imdb.com/title/tt0113497/,movie,7.0,104,1995,"Adventure, Comedy, Family, Fantasy",268030,1995-12-15,Joe Johnston
7,tt0241527,2011-03-16,2012-02-10,10/10,Harry Potter and the Sorcerer's Stone,https://www.imdb.com/title/tt0241527/,movie,7.6,152,2001,"Adventure, Family, Fantasy",567366,2001-11-04,Chris Columbus
8,tt0054176,2011-03-16,2012-02-10,10/10,Peter Pan,https://www.imdb.com/title/tt0054176/,tvMovie,7.6,100,1960,"Comedy, Family, Fantasy, Musical",1819,1960-12-08,Vincent J. Donehue
9,tt0207653,2011-03-16,2012-02-10,10/10,Pinocchio,https://www.imdb.com/title/tt0207653/,tvMovie,6.1,73,1976,"Family, Fantasy, Musical",160,1976-03-27,"Ron Field, Sid Smith"
10,tt0124879,2012-02-10,2012-02-10,10/10,Simon Birch,https://www.imdb.com/title/tt0124879/,movie,6.9,114,1998,"Comedy, Drama, Family",19765,1998-09-11,Mark Steven Johnson
11,tt0451010,2011-03-16,2012-02-10,10/10,Chakushin ari 2,https://www.imdb.com/title/tt0451010/,movie,5.4,105,2005,"Horror, Mystery",2777,2005-02-05,Renpei Tsukamoto
12,tt0098090,2011-03-16,2012-02-10,10/10,The Phantom of the Opera,https://www.imdb.com/title/tt0098090/,movie,5.5,93,1989,"Drama, Horror, Music, Romance",3398,1989-11-03,Dwight H. Little
13,tt0038650,2011-03-16,2012-02-10,10/10,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/,movie,8.6,130,1946,"Drama, Family, Fantasy",354954,1946-12-20,Frank Capra
14,tt0366292,2011-03-16,2012-02-10,10/10,Chakushin ari,https://www.imdb.com/title/tt0366292/,movie,6.2,112,2003,"Horror, Mystery",15752,2003-11-03,Takashi Miike
15,tt0218553,2011-03-16,2012-02-10,10/10,Ringu 2,https://www.imdb.com/title/tt0218553/,movie,6.0,95,1999,"Horror, Mystery, Sci-Fi",11508,1999-01-23,Hideo Nakata
16,tt0067992,2011-03-16,2012-02-10,10/10,Willy Wonka & the Chocolate Factory,https://www.imdb.com/title/tt0067992/,movie,7.8,100,1971,"Family, Fantasy, Musical",160218,1971-06-28,Mel Stuart
17,tt0235712,2011-03-16,2012-02-10,10/10,Ringu 0: Bâsudei,https://www.imdb.com/title/tt0235712/,movie,6.1,99,2000,"Horror, Thriller",7662,2000-01-22,Norio Tsuruta
18,tt0086336,2011-03-16,2012-02-10,10/10,Something Wicked This Way Comes,https://www.imdb.com/title/tt0086336/,movie,6.8,95,1983,"Fantasy, Mystery, Thriller",7586,1983-04-29,Jack Clayton
19,tt0316396,2011-03-16,2012-02-10,10/10,Peter Pan,https://www.imdb.com/title/tt0316396/,movie,6.9,113,2003,"Adventure, Family, Fantasy, Romance",61339,2003-12-09,P.J. Hogan
20,tt0068190,2011-03-16,2012-02-10,10/10,Alice's Adventures in Wonderland,https://www.imdb.com/title/tt0068190/,movie,5.8,101,1972,"Adventure, Family, Fantasy, Musical",1395,1972-11-20,William Sterling
21,tt0093300,2011-03-16,2012-02-10,10/10,Jaws: The Revenge,https://www.imdb.com/title/tt0093300/,movie,2.9,89,1987,"Adventure, Horror, Thriller",37048,1987-07-17,Joseph Sargent
22,tt0103776,2011-03-16,2012-02-10,10/10,Batman Returns,https://www.imdb.com/title/tt0103776/,movie,7.0,126,1992,"Action, Crime, Fantasy",251910,1992-06-16,Tim Burton
23,tt0057401,2011-03-16,2012-02-10,10/10,Paranoiac,https://www.imdb.com/title/tt0057401/,movie,6.9,80,1963,"Drama, Horror, Mystery, Thriller",2121,1963-05-01,Freddie Francis
24,tt0098912,2011-03-16,2012-02-10,10/10,The Silver Chair,https://www.imdb.com/title/tt0098912/,tvSeries,7.2,30,1990,"Fantasy, Family, Adventure",1694,1990-11-18,
25,tt0062803,2011-03-16,2012-02-10,10/10,Chitty Chitty Bang Bang,https://www.imdb.com/title/tt0062803/,movie,6.9,144,1968,"Adventure, Family, Fantasy, Musical",37410,1968-12-12,Ken Hughes
26,tt0396752,2011-03-16,2012-02-10,10/10,Nanny McPhee,https://www.imdb.com/title/tt0396752/,movie,6.6,97,2005,"Comedy, Family, Fantasy",61371,2005-10-21,Kirk Jones
27,tt0014142,2011-03-16,2012-02-10,10/10,The Hunchback of Notre Dame,https://www.imdb.com/title/tt0014142/,movie,7.3,133,1923,"Drama, Horror, Romance",4272,1923-09-02,Wallace Worsley
28,tt0360717,2011-03-16,2012-02-10,10/10,King Kong,https://www.imdb.com/title/tt0360717/,movie,7.2,187,2005,"Action, Adventure, Drama, Romance",365193,2005-12-05,Peter Jackson
29,tt0056347,2011-03-16,2012-02-10,10/10,The Phantom of the Opera,https://www.imdb.com/title/tt0056347/,movie,6.4,90,1962,"Drama, Horror, Music, Mystery, Thriller",2497,1962-06-25,Terence Fisher
30,tt0022913,2011-03-16,2012-02-10,10/10,Freaks,https://www.imdb.com/title/tt0022913/,movie,7.9,64,1932,"Drama, Horror",38092,1932-02-12,Tod Browning
31,tt0060088,2011-03-16,2012-02-10,10/10,Alice Through the Looking Glass,https://www.imdb.com/title/tt0060088/,tvMovie,6.5,72,1966,"Family, Fantasy, Musical",138,1966-11-06,Alan Handley
32,tt0049366,2011-03-16,2012-02-10,10/10,Invasion of the Body Snatchers,https://www.imdb.com/title/tt0049366/,movie,7.8,80,1956,"Drama, Horror, Sci-Fi",40489,1956-02-05,Don Siegel
33,tt0330373,2011-03-16,2012-02-10,10/10,Harry Potter and the Goblet of Fire,https://www.imdb.com/title/tt0330373/,movie,7.7,157,2005,"Adventure, Family, Fantasy, Mystery",486281,2005-11-06,Mike Newell
34,tt0087262,2011-03-16,2012-02-10,10/10,Firestarter,https://www.imdb.com/title/tt0087262/,movie,6.0,114,1984,"Action, Horror, Sci-Fi, Thriller",26841,1984-05-11,Mark L. Lester
35,tt0192255,2011-03-16,2012-02-10,10/10,The Little Vampire,https://www.imdb.com/title/tt0192255/,movie,5.8,95,2000,"Adventure, Comedy, Family, Fantasy",8776,2000-08-18,Uli Edel
36,tt0467421,2011-03-16,2012-02-10,10/10,Twitches,https://www.imdb.com/title/tt0467421/,tvMovie,5.8,86,2005,"Comedy, Drama, Family, Fantasy",6170,2005-10-14,Stuart Gillard
